dep;week;P;T;cl_age90
01;2020-S38;5;134;90
01;2020-S38;660;10045;0
01;2020-S39;15;360;09
01;2020-S39;65;1471;19
01;2020-S39;131;1165;29
01;2020-S39;64;1193;39
01;2020-S39;77;1066;49
01;2020-S39;82;957;59
01;2020-S39;47;652;69
01;2020-S39;29;475;79
01;2020-S39;10;274;89
01;2020-S39;4;133;90
01;2020-S39;524;7746;0
02;2020-S21;0;47;09
02;2020-S21;1;56;19
02;2020-S21;4;173;29
02;2020-S21;1;204;39
02;2020-S21;7;199;49
02;2020-S21;6;173;59
02;2020-S21;8;140;69
02;2020-S21;4;100;79
02;2020-S21;9;139;89
02;2020-S21;1;56;90
02;2020-S21;41;1287;0
02;2020-S22;2;32;09
02;2020-S22;0;86;19
02;2020-S22;3;202;29
02;2020-S22;7;270;39
02;2020-S22;4;267;49
02;2020-S22;4;253;59
02;2020-S22;8;229;69
02;2020-S22;3;182;79
02;2020-S22;6;105;89
02;2020-S22;6;56;90
02;2020-S22;43;1683;0
02;2020-S23;0;41;09
02;2020-S23;0;40;19
02;2020-S23;3;102;29
02;2020-S23;4;122;39
02;2020-S23;1;148;49
02;2020-S23;2;173;59
02;2020-S23;6;151;69
02;2020-S23;4;163;79
02;2020-S23;18;126;89
02;2020-S23;9;77;90
02;2020-S23;47;1143;0
02;2020-S24;0;56;09
02;2020-S24;1;89;19
02;2020-S24;2;163;29
02;2020-S24;1;172;39
02;2020-S24;5;181;49
02;2020-S24;3;218;59
02;2020-S24;5;193;69
02;2020-S24;5;137;79
02;2020-S24;14;165;89
02;2020-S24;4;90;90
02;2020-S24;40;1464;0
02;2020-S25;0;69;09
02;2020-S25;1;121;19
02;2020-S25;4;147;29
02;2020-S25;1;178;39
02;2020-S25;1;167;49
02;2020-S25;0;172;59
02;2020-S25;1;167;69
02;2020-S25;4;152;79
02;2020-S25;8;124;89
02;2020-S25;4;77;90
02;2020-S25;24;1374;0
02;2020-S26;0;63;09
02;2020-S26;0;132;19
02;2020-S26;5;177;29
02;2020-S26;3;196;39
02;2020-S26;3;215;49
02;2020-S26;0;238;59
02;2020-S26;2;296;69
02;2020-S26;5;234;79
02;2020-S26;2;118;89
02;2020-S26;0;51;90
02;2020-S26;20;1720;0
02;2020-S27;3;180;09
02;2020-S27;3;179;19
02;2020-S27;2;223;29
02;2020-S27;2;274;39
02;2020-S27;3;244;49
02;2020-S27;1;255;59
02;2020-S27;2;261;69
02;2020-S27;3;200;79
02;2020-S27;0;167;89
02;2020-S27;1;91;90
02;2020-S27;20;2074;0
02;2020-S28;0;112;09
02;2020-S28;3;170;19
02;2020-S28;4;238;29
02;2020-S28;0;305;39
02;2020-S28;0;279;49
02;2020-S28;3;244;59
02;2020-S28;2;226;69
02;2020-S28;4;169;79
02;2020-S28;5;147;89
02;2020-S28;3;90;90
02;2020-S28;24;1980;0
02;2020-S29;0;84;09
02;2020-S29;0;136;19
02;2020-S29;3;217;29
02;2020-S29;2;248;39
02;2020-S29;1;179;49
02;2020-S29;1;245;59
02;2020-S29;2;227;69
02;2020-S29;0;187;79
02;2020-S29;0;126;89
02;2020-S29;1;40;90
02;2020-S29;10;1689;0
02;2020-S30;1;141;09
02;2020-S30;1;177;19
